Title,Data,What to anonymize?,Approach,Evaluation
Sharing Computer Network Logs for Security and Privacy: A Motivation for New Methodologies of Anonymization,,,"Define 16 types of logs that need to be anonymized such as: TCPdump, NetFlows, Syslog, DNS cache, firewalls, and web servers","While there are centers dedicated to collecting logs, they suffer from one or more of the following problems: (1) They do not have a wide view of the Internet but are quite localized, (2) the repositories are very specific, addressing one or only a few types of logs, (3) anonymization is weak or non-existent and usually inconsistent or (4) they collect many logs but do not share them with the research community."
Usable Privacy-Aware Logging for Unstructured Log Entries,log,"user id, name",Uses privacy-aware turbo filter,Evaluate on execution time
Framework for Privacy-Aware Web Service Logging,Web service log,"age, username, id, credit card, zip code, address, email",Define privacy rules in XML,
"Sharing Network Logs for Computer Forensics: A New Tool for the Anonymization
of NetFlow Records",Netflow logs,"Source IP Address, Destination
IP Address, Source Port, Destination Port, Start Timestamp,
End Timestamp, Protocol and Byte Count",Introduce CANINE that anonymize 8 fields of netflows.,"For evaluation, discusses the scalability of CANINE."
"Outsourcing Security Analysis with Anonymized
Logs",(Netflow) logs,1) Start Time; 2)Source IP Address; 3) Source Port; 4) Destination IP Address; 5)Destination Port; 6) IP protocol type,Describe different anonymization approaches and available tools,
"Assessing Data Usefulness for Failure Analysis
in Anonymized System Logs",system logs,"log message, path, username","first work for anonymizing unstructured logs. identifying the variables, anonymize them, hash them. completely change the format and ruin the information for any other task than the task defined in the paper.",Failure analysis - usefulness analysis
Libra: High-Utility Anonymization of Event Logs for Process Mining via Subsampling,process mining,"timestamp, case ID, activity label","Clipping rare traces, poisson subsampling, anonymizing using RDP, post processing, combining subsamples",Calculate the distance of anonymized log with original log.
Towards an Efficient Log Data Protection in Software Systems through Data Minimization and Anonymization,NASA and Yahoo datasets,"usernames, IP addresses, port numbers, node names,
application names, path URLs, user types, passwords, email
addresses.",Extract sensitive information from GDPR and HIPAA. Describe anonymization techniques. Have different anonymization approaches such as tokenization and hashing. Apparently a user must choose the anonymization approach and define the patterns using RE.,Evaluate the anonymized text with anomaly detection and use behavior analysis. do not mention how the accuracy degrades (compare directly the plain logs vs anonymized logs)
PRETSA: Event Log Sanitization for Privacy-aware Process Discovery,process mining,,"Introduce PRETSA: sanitize event logs while providing privacy guarantees in terms of k-anonymity and t-closeness. Generating tree and calculating similarity, removing violating traces.",
Privacy analysis of user association logs in a large-scale wireless LAN,WLan data,MAC address,Analyzes generalization and perturbation for anonymization.,"standard anonymization techniques, such as generalization and perturbation, are
unable to mitigate such CRF-based correlation attack effectively. "
Delog: A High-Performance Privacy Preserving Log Filtering Framework,various logs such as HDFS and Zookeeper,,A log parsing technique that uses privacy-preserving based on hashing and bloom filters.,Measuring quality loss.
Preserving Organizational Privacy in Intrusion Detection Log Sharing,network log,"IP, time, port",L-ACM: Hierarchical clustering algorithm to preserve l-diversity,Analyzing information loss
