Are you ready to begin the survey?,"Do you have any experience in analyzing, processing, or managing software logs?",Are you familiar with the following data protection regulations and standards? (Select all that apply),"Based on the above examples, which of the following attributes do you consider sensitive in software logs? Each row includes an example after the colon (:) (Select all that apply)",Have you ever anonymized log data?,"When you want to share software logs, which attributes do you anonymize? Each row includes an example after the colon (:) (Select all that apply)",Why do your responses regarding which attributes are sensitive (the question on page 4) differ from those you actually anonymize (the question on page 6) in software logs? (Select all that apply),What factors influence your decision to anonymize certain log attributes? (Select all that apply),Which anonymization techniques do you primarily use for log data? (Select all that apply),How much do you believe anonymization impacts the usefulness of the data?,How challenging do you find balancing anonymization with the need to preserve the utility of log data?,How effective do you believe your current anonymization practices are in protecting sensitive information?,How effective do you believe your current anonymization practices are in preserving utility?,How efficient do you believe your current anonymization practices are in terms of computation cost and time?,Can you share any strategies or best practices you use to maintain data utility while anonymizing logs?,What challenges do you face when applying anonymization techniques to software logs?,"Do you have any additional comments, suggestions, or insights you'd like to share regarding log anonymization practices or this survey?",Which best describes your role in the organization?,How many years of experience do you have? ,In which industry does your organization operate?,What is the approximate size of your organization?
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, Host name: hollerith.hrz.tu-chemnitz.de",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: hollerith.hrz.tu-chemnitz.de",I anonymize only those attributes that are required by company policies or regulations.,"Legal compliance, Risk of re-identification, Company policies",Tokenization,Moderately,4,4,3,4,"Ensuring that the data provided is concise and only relates the the particular issue, remove any data that might give an indication into our internal network configuration ",Providing the required information to the support team while also ensuring we do not give sensitive data that might provide an insight into our internal architecture  ,Nothing extra to add ,Security Engineer,7-10 years,Finance,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Log level: INFO, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: hollerith.hrz.tu-chemnitz.de, Port number: 8080, Request protocol: HTTP/1.0, Request method: GET, Request status code: 200",No,,,,,,,,,,,,NS,Security Engineer,4-6 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,GDPR (General Data Protection Regulation),"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, Host name: hollerith.hrz.tu-chemnitz.de, Port number: 8080",No,,,,,,,,,,,,"I believe there are two concerns. One about the fact customer data should not be logged. Customer metadata can be logged, but not what they actually did. The comes that logs should not be exported/copied. That could mean customer data is being leaked. ",Software engineer,4-6 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,NONE,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: hollerith.hrz.tu-chemnitz.de, Port number: 8080, Request protocol: HTTP/1.0, Request method: GET, Configuration details: vCores:32",No,,,,,,,,,,,,,Software engineer,4-6 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,NONE,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, Host name: hollerith.hrz.tu-chemnitz.de, Port number: 8080",No,,,,,,,,,,,,,Software engineer,4-6 years,Technology,1-100 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), HIPAA (Health Insurance Portability and Accountability Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Log level: INFO, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Environmental data: temperature ambient=33",No,,,,,,,,,,,,NA,Software engineer,More than 10 years,Automotive,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Host name: hollerith.hrz.tu-chemnitz.de, This can be sensitive ( rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn) Do note data can be sensitive without being PII. For it to be PII, it needs to be related. Eg. mac address + location is high sensitive PII",No,,,,,,,,,,,,"Look at log anonymization APIs/tools that are commonly used. Lots of enterprise code contains legacy code with very custom redaction loggers. Financial information sometimes is difficult to redact - eg. ACH transactions require lots of PII to be put in a text file un-redacted and transferred via an API/stored as a copy. Same with payment gateways. In real world, efforts are also put in isolating logging in a manner that in all the logs do not divulge  PII data (eg firstname is acceptable, but first, last + DoB together is PII)",Chief Scientist (often Security/Privacy Code Auditor),7-10 years,Technology,1-100 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act), Québec A-2.1, Québec P-39.1","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, Host name: hollerith.hrz.tu-chemnitz.de, Port number: 8080, Configuration details: vCores:32",No,,,,,,,,,,,,"Anonymization ou other method that requires access to a protected source of information to get access to the original log data ? In security for example, the analyst needs to have access to specific data to detect illegitimate behaviour by system, app or user.",Cyber security Enterprise Architect,More than 10 years,"Consultant now, working in multiple industry companies",More than 500 employees
